geoid,month,evictions
4013112301,2023-10,12
4013112301,2023-11,17
4013112301,2023-12,21
4013112301,2024-01,22
4013112301,2024-02,22
4013112301,2024-03,17
4013112301,2024-04,23
4013112301,2024-05,22
4013112301,2024-06,15
4013112301,2024-07,26
4013112301,2024-08,14
4013112301,2024-09,32
4013112301,2024-10,20
4013112301,2024-11,30
4013112301,2024-12,16
4013112302,2022-01,24
4013112302,2022-02,26
4013112302,2022-03,26
4013112302,2022-04,19
4013112302,2022-05,21
4013112302,2022-06,26
4013112302,2022-07,31
4013112302,2022-08,30
4013112302,2022-09,27
4013112302,2022-10,24
4013112302,2022-11,28
4013112302,2022-12,17
4013112302,2023-01,12
4013112302,2023-02,25
4013112302,2023-03,25
4013112302,2023-04,22
4013112302,2023-05,19
4013112302,2023-06,12
4013112302,2023-07,32
4013112302,2023-08,31
4013112302,2023-09,39
4013112302,2023-10,22
4013112302,2023-11,54
4013112302,2023-12,35
4013112302,2024-01,31
4013112302,2024-02,39
4013112302,2024-03,24
4013112302,2024-04,21
4013112302,2024-05,23
4013112302,2024-06,32
4013112302,2024-07,18
4013112302,2024-08,23
4013112302,2024-09,23
4013112302,2024-10,15
4013112302,2024-11,16
4013112302,2024-12,22
4013112401,2022-01,5
4013112401,2022-02,7
4013112401,2022-03,5
4013112401,2022-04,9
4013112401,2022-05,11
4013112401,2022-06,6
4013112401,2022-07,7
4013112401,2022-08,6
4013112401,2022-09,11
4013112401,2022-10,7
4013112401,2022-11,9
4013112401,2022-12,8
4013112401,2023-01,6
4013112401,2023-02,13
4013112401,2023-03,11
4013112401,2023-04,1
4013112401,2023-05,19
4013112401,2023-06,2
4013112401,2023-07,4
4013112401,2023-08,7
4013112401,2023-09,5
4013112401,2023-10,8
4013112401,2023-11,7
4013112401,2023-12,1
4013112401,2024-01,11
4013112401,2024-02,5
4013112401,2024-03,1
4013112401,2024-04,21
4013112401,2024-05,22
4013112401,2024-06,6
4013112401,2024-07,9
4013112401,2024-08,8
4013112401,2024-09,6
4013112401,2024-10,1
4013112401,2024-11,1
4013112401,2024-12,13
4013112402,2022-02,1
4013112402,2022-05,1
4013112402,2022-06,2
4013112402,2022-07,1
4013112402,2022-08,1
4013112402,2022-09,1
4013112402,2022-10,3
4013112402,2022-11,1
4013112402,2022-12,1
4013112402,2023-01,2
4013112402,2023-02,1
4013112402,2023-09,5
4013112402,2023-10,2
4013112402,2023-11,1
4013112402,2023-12,2
4013112402,2024-02,1
4013112402,2024-03,1
4013112402,2024-04,1
4013112402,2024-06,1
4013112402,2024-07,2
4013112402,2024-08,1
4013112402,2024-10,1
4013112402,2024-12,1
4013112502,2022-01,1
4013112502,2022-03,2
4013112502,2022-05,1
4013112502,2022-06,1
4013112502,2022-07,1
4013112502,2022-08,1
4013112502,2022-09,1
4013112502,2022-10,1
4013112502,2023-01,1
4013112502,2023-02,2
4013112502,2023-04,1
4013112502,2023-06,1
